X,Y,OBJECTID,ID,TOWN,AIRPORT_NAME,OWNER_TYPE,FACILITY_TYPE,CLASS,RUNWAY,LATITUDE,LONGITUDE,ELEVATION,P_LENGTH,S_LENGTH,P_WIDTH,S_WIDTH,P_SURFACETYPE,S_SURFACETYPE,P_RUNWAYLIGHTS,S_RUNWAYLIGHTS,CONTROLTOWER,RESTAURANT,RENTALCAR,SERVICELEVEL,AIRSERVICE,GlobalID,created_user,created_date,last_edited_user,last_edited_date
71737.759800002,918422.6666,16,MA86,WINDSOR,KENDALLS LANDING AREA,Private,PRIVATE OWNED AP,,1,42 30 20,73 03 35,2102,1800,0,150,0,TURF,,,,N,,,PRIVATE USE,,{EC4F6C28-C019-4527-8DB0-A4D660E0B499},,,,
42562.0137000009,883315.6545,17,GBR,GREAT BARRINGTON,GREAT BARRINGTON,MAC,PRIVATE OWNED AP,BU-2,1,42 11 02,73 24 10,739,2580,0,50,0, , , , ,N,N, ,GENERAL AVIATION,N,{48B1A8DC-0EF0-4238-9FE6-86D6058434B8},,,,
73721.2057999969,897555.8926,18,3MA2,MIDDLEFIELD,BAINES,Private,PRIVATE OWNED AP,,1,42 18 58,73 01 55,1160,2200,0,100,0,TURF,,,,N,,,PRIVATE USE,,{4B57E258-91B2-4D25-AD18-B33B18C79AD5},,,,
64285.7867000028,904065.111400001,19,MA77,WASHINGTON,BLUEBERRY HILL,Private,PRIVATE OWNED AP,,1,42 22 30,73 08 51,2000,1800,0,100,0,TURF,,,,N,,,PRIVATE USE,,{F7CA8351-5AE6-4B5D-A9D9-D96EE132D3E6},,,,
82047.0181000009,905601.698199999,20,MA88,ALBERT FARMS,WORTHINGTON,Private,PRIVATE OWNED AP,,1,42 23 24,72 55 51,1425,2800,0,50,0,ASPHALT/GRAVEL,,,,N,,,PRIVATE USE,,{EA3EF579-DA1C-4DEA-98C4-6B073E211337},,,,
52536.9094000012,910090.770799998,21,PSF,PITTSFIELD,PITTSFIELD MUNICIPAL,MAC,PUBLIC OWNED AP,GU-1,2,42 25 36,73 17 36,1194,5001,3496,100,100,ASPHALT-GROOVED,ASPHALT,MIRLS,MIRLS,N,N, ,GENERAL AVIATION,N,{70F0A593-9748-49A9-ADDC-7E04676BC3A5},,,,
84127.0794999972,870032.682799999,22,MA43,GRANVILLE,MOREHAVEN,Private,PRIVATE OWNED AP,,1,42 04 20,72 54 00,1120,1170,0,100,0,TURF,,,,N,,,PRIVATE USE,,{30976626-F920-4C62-B82D-27B99040637D},,,,
90887.2567000017,870624.2031,23,28MA,SOUTHWICK,CANNIZZARO FIELD,Private,PRIVATE OWNED AP,,1,42 04 47,72 49 05,250,1600,0,50,0,TURF,,,,N,,,PRIVATE USE,,{3ECBBCE9-0B85-4C92-B7C9-B76625C957E4},,,,
91198.4302999973,875464.1877,24,MA80,WESTFIELD,MUNDALE,Private,PRIVATE OWNED AP,,1,42 07 11,72 48 51,280,1600,0,50,0,TURF,,,,N,,,PRIVATE USE,,{BFD2E8D1-D236-4D97-82BE-0BE8E665584E},,,,
108258.952799998,898221.820799999,25,7B2,NORTHAMPTON,NORTHAMPTON,MAC,PRIVATE OWNED AP,BU-2,1,42 19 41,72 36 42,122,3365,0,50,0,ASPHALT, ,NON-STANDARD, ,N,N, ,GENERAL AVIATION,N,{2460D785-B3E3-49A6-BBED-E9B3BA51DBBF},,,,
113446.441600002,905241.474399999,26,03MA,HADLEY,HADLEY,Private,PRIVATE OWNED AP,,1,42 23 35,72 33 07,1600,0,60,0,0,TURF,,,,N,,,PRIVATE USE,,{B1EE7C3A-A3B1-49AC-A585-4814B31AE5F2},,,,
125063.371399999,890538.229600001,27,31MA,BELCHERTOWN,NORM'S FIELD,Private,PRIVATE OWNED AP,,1,42 15 43,72 24 29,460,1300,0,50,0,TURF,,,,N,,,PRIVATE USE,,{1B65B44A-8E25-4554-A5ED-178C1E41ACD8},,,,
133023.197800003,886219.5306,28,13MA,PALMER,METROPOLITAN,Private,PRIVATE OWNED AP,,1,42 13 24,72 18 41,418,2475,0,55,0,ASPHALT,,LIRLS,,N,,,PRIVATE USE,,{410C09BB-8FB2-48CC-B6E9-440C84D05A6C},,,,
135446.181000002,924875.562899999,29,ORE,ORANGE,ORANGE MUNICIPAL,MAC,PUBLIC OWNED AP,BU-1,2,42 34 04,72 17 28,555,5000,4999,75,150,ASPHALT,ASPHALT,MIRLS,NOT WORKING,N,Y, ,GENERAL AVIATION,N,{F7FBA07B-4169-4717-937C-9659755AE5AF},,,,
141031.812200002,892876.3006,30,MA53,WARE,WARE,Private,PRIVATE OWNED AP,,1,42 16 55,72 12 53,483,2030,0,150,0,TURF,,,,N,,,PRIVATE USE,,{701028A1-5165-46C8-AEB6-4539267065B0},,,,
157592.824500002,922387.077,31,GDM,GARDNER,GARDNER MUNICIPAL,MAC,PUBLIC OWNED AP,BU-1,1,42 33 00,72 01 00,955,3000,0,75,0,ASPHALT, ,MIRLS, ,N,N, ,GENERAL AVIATION,N,{365AC648-E66C-4F0B-99BE-43DF5077B9DF},,,,
155423.269500002,872405.535599999,32,3B0,SOUTHBRIDGE,SOUTHBRIDGE MUNICIPAL,MAC,PUBLIC OWNED AP,BU-2,2,42 06 03,72 02 20,697,3500,0,75,0,ASPHALT, , , ,N,Y, ,GENERAL AVIATION,N,{E4EB03FC-4A61-4DE2-85A8-23A72CD99F21},,,,
161166.351999998,872629.0845,33,MA30,CHARLTON,DRESSER HILL,Private,PRIVATE OWNED AP,,1,42 06 00,71 57 58,810,2000,0,300,0,TURF,,,,N,,,PRIVATE USE,,{25F7E629-E004-4189-BFAD-8E1736A73075},,,,
